year,state,deaths,population
1999,Alabama,10,4430141
1999,Arizona,,5023823
1999,Arkansas,,2651860
1999,California,43,33499204
1999,Colorado,,4226018
1999,Connecticut,,3386401
1999,Delaware,,774990
1999,District of Columbia,,570213
1999,Florida,35,15759421
1999,Georgia,26,8045965
1999,Hawaii,,1210300
1999,Idaho,,1275674
1999,Illinois,18,12359020
1999,Indiana,,6044969
1999,Iowa,,2917634
1999,Kansas,,2678338
1999,Kentucky,,4018053
1999,Louisiana,,4460811
1999,Maryland,,5254509
1999,Massachusetts,,6317345
1999,Michigan,11,9897116
1999,Minnesota,,4873481
1999,Mississippi,,2828408
1999,Missouri,,5561948
1999,Nebraska,,1704764
1999,Nevada,,1934718
1999,New Hampshire,,1222014
1999,New Jersey,,8359592
1999,New Mexico,,1808082
1999,New York,37,18882725
1999,North Carolina,15,7949361
1999,Ohio,17,11335454
1999,Oklahoma,,3437147
1999,Oregon,,3393941
1999,Pennsylvania,13,12263805
1999,Rhode Island,,1040402
1999,South Carolina,10,3974682
1999,Tennessee,12,5638706
1999,Texas,34,20558220
1999,Utah,,2203482
1999,Vermont,,604683
1999,Virginia,12,7000174
1999,Washington,,5842564
1999,West Virginia,,1811799
1999,Wisconsin,,5332666
2000,Alabama,,4447100
2000,Alaska,,626932
2000,Arizona,,5130632
2000,Arkansas,,2673400
2000,California,56,33871648
2000,Colorado,,4301261
2000,Connecticut,,3405565
2000,Delaware,,783600
2000,District of Columbia,,572059
2000,Florida,29,15982378
2000,Georgia,21,8186453
2000,Idaho,,1293953
2000,Illinois,19,12419293
2000,Indiana,,6080485
2000,Iowa,,2926324
2000,Kansas,,2688418
2000,Kentucky,,4041769
2000,Louisiana,,4468976
2000,Maine,,1274923
2000,Maryland,15,5296486
2000,Massachusetts,,6349097
2000,Michigan,,9938444
2000,Minnesota,,4919479
2000,Mississippi,,2844658
2000,Missouri,,5595211
2000,Montana,,902195
2000,Nebraska,,1711263
2000,Nevada,,1998257
2000,New Hampshire,,1235786
2000,New Jersey,12,8414350
2000,New Mexico,,1819046
2000,New York,23,18976457
2000,North Carolina,14,8049313
2000,North Dakota,,642200
2000,Ohio,19,11353140
2000,Oklahoma,,3450654
2000,Oregon,,3421399
2000,Pennsylvania,,12281054
2000,Rhode Island,,1048319
2000,South Carolina,,4012012
2000,Tennessee,,5689283
2000,Texas,30,20851820
2000,Utah,,2233169
2000,Virginia,10,7078515
2000,Washington,,5894121
2000,West Virginia,,1808344
2000,Wisconsin,,5363675
2000,Wyoming,,493782
2001,Alabama,,4467634
2001,Arizona,,5273477
2001,Arkansas,,2691571
2001,California,46,34479458
2001,Colorado,,4425687
2001,Connecticut,,3432835
2001,Delaware,,795699
2001,District of Columbia,,574504
2001,Florida,21,16356966
2001,Georgia,40,8377038
2001,Hawaii,,1225948
2001,Illinois,21,12488445
2001,Iowa,,2931997
2001,Kansas,,2702162
2001,Kentucky,,4068132
2001,Louisiana,10,4477875
2001,Maryland,12,5374691
2001,Massachusetts,,6397634
2001,Michigan,,9991120
2001,Minnesota,,4982796
2001,Mississippi,12,2852994
2001,Missouri,10,5641142
2001,Montana,,906961
2001,Nebraska,,1719836
2001,Nevada,,2098399
2001,New Hampshire,,1255517
2001,New Jersey,10,8492671
2001,New Mexico,,1831690
2001,New York,41,19082838
2001,North Carolina,,8210122
2001,North Dakota,,639062
2001,Ohio,,11387404
2001,Oklahoma,,3467100
2001,Oregon,,3467937
2001,Pennsylvania,12,12298970
2001,South Carolina,,4064995
2001,South Dakota,,757972
2001,Tennessee,11,5750789
2001,Texas,41,21319622
2001,Utah,,2283715
2001,Virginia,,7198362
2001,Washington,,5985722
2001,West Virginia,,1801481
2001,Wisconsin,,5406835
2002,Alabama,,4480089
2002,Alaska,,642337
2002,Arizona,,5396255
2002,Arkansas,,2705927
2002,California,56,34871843
2002,Colorado,,4490406
2002,Connecticut,,3458749
2002,Florida,23,16689370
2002,Georgia,25,8508256
2002,Hawaii,,1239613
2002,Illinois,12,12525556
2002,Indiana,,6155967
2002,Kansas,,2713535
2002,Kentucky,,4089875
2002,Louisiana,,4497267
2002,Maryland,11,5440389
2002,Massachusetts,,6417206
2002,Michigan,12,10015710
2002,Minnesota,,5018935
2002,Mississippi,,2858681
2002,Missouri,,5674825
2002,Nebraska,,1728292
2002,Nevada,,2173791
2002,New Hampshire,,1269089
2002,New Jersey,,8552643
2002,New Mexico,,1855309
2002,New York,26,19137800
2002,North Carolina,18,8326201
2002,North Dakota,,638168
2002,Ohio,12,11407889
2002,Oklahoma,,3489080
2002,Oregon,,3513424
2002,Pennsylvania,11,12331031
2002,Rhode Island,,1065995
2002,South Carolina,,4107795
2002,Tennessee,10,5795918
2002,Texas,35,21690325
2002,Utah,,2324815
2002,Virginia,,7286873
2002,Washington,,6052349
2002,West Virginia,,1805414
2002,Wisconsin,,5445162
2003,Alabama,,4503491
2003,Arizona,,5510364
2003,Arkansas,,2724816
2003,California,94,35253159
2003,Colorado,10,4528732
2003,Connecticut,,3484336
2003,Delaware,,818003
2003,District of Columbia,,568502
2003,Florida,25,17004085
2003,Georgia,39,8622793
2003,Hawaii,,1251154
2003,Idaho,,1363380
2003,Illinois,13,12556006
2003,Indiana,,6196638
2003,Iowa,,2941999
2003,Kentucky,,4117170
2003,Louisiana,12,4521042
2003,Maryland,20,5496269
2003,Massachusetts,,6422565
2003,Michigan,16,10041152
2003,Minnesota,,5053572
2003,Mississippi,,2868312
2003,Missouri,,5709403
2003,Montana,,919630
2003,Nebraska,,1738643
2003,Nevada,,2248850
2003,New Hampshire,,1279840
2003,New Jersey,10,8601402
2003,New Mexico,,1877574
2003,New York,56,19175939
2003,North Carolina,16,8422501
2003,Ohio,14,11434788
2003,Oklahoma,,3504892
2003,Oregon,,3547376
2003,Pennsylvania,21,12374658
2003,Rhode Island,,1071342
2003,South Carolina,,4150297
2003,Tennessee,,5847812
2003,Texas,60,22030931
2003,Utah,,2360137
2003,Vermont,,617858
2003,Virginia,,7366977
2003,Washington,,6104115
2003,West Virginia,,1812295
2003,Wisconsin,11,5479203
2004,Alabama,,4530729
2004,Alaska,,659286
2004,Arizona,,5652404
2004,Arkansas,,2749686
2004,California,150,35574576
2004,Colorado,,4575013
2004,Connecticut,,3496094
2004,Delaware,,830803
2004,District of Columbia,,567754
2004,Florida,36,17415318
2004,Georgia,17,8769252
2004,Hawaii,,1273569
2004,Idaho,,1391802
2004,Illinois,17,12589773
2004,Indiana,,6233007
2004,Iowa,,2953635
2004,Kansas,,2734373
2004,Kentucky,,4146101
2004,Louisiana,26,4552238
2004,Maryland,17,5546935
2004,Massachusetts,,6412281
2004,Michigan,57,10055315
2004,Mississippi,11,2889010
2004,Missouri,,5747741
2004,Montana,10,930009
2004,Nebraska,,1749370
2004,Nevada,,2346222
2004,New Hampshire,,1290121
2004,New Jersey,40,8634561
2004,New Mexico,,1903808
2004,New York,78,19171567
2004,North Carolina,,8553152
2004,Ohio,,11452251
2004,Oklahoma,15,3525233
2004,Oregon,,3569463
2004,Pennsylvania,14,12410722
2004,South Carolina,,4210921
2004,South Dakota,,770396
2004,Tennessee,,5910809
2004,Texas,48,22394023
2004,Utah,,2401580
2004,Virginia,,7475575
2004,Washington,16,6178645
2004,West Virginia,,1816438
2004,Wisconsin,,5514026
2004,Wyoming,,509106
2005,Alabama,12,4569805
2005,Arizona,,5839077
2005,Arkansas,,2781097
2005,California,119,35827943
2005,Colorado,,4631888
2005,Connecticut,,3506956
2005,Delaware,,845150
2005,District of Columbia,,567136
2005,Florida,59,17842038
2005,Georgia,32,8925922
2005,Hawaii,,1292729
2005,Idaho,,1428241
2005,Illinois,15,12609903
2005,Indiana,,6278616
2005,Iowa,,2964454
2005,Kansas,,2745299
2005,Kentucky,11,4182742
2005,Louisiana,15,4576628
2005,Maryland,19,5592379
2005,Massachusetts,,6403290
2005,Michigan,52,10051137
2005,Minnesota,,5119598
2005,Mississippi,13,2905943
2005,Missouri,15,5790300
2005,Montana,,940102
2005,Nebraska,,1761497
2005,Nevada,,2432143
