"vaccine","geography_type","geography","year_season","dimension_type","dimension","coverage_estimate","population_sample_size"
"Seasonal Influenza","HHS Regions/National","Region 2","2015-16","Age","75-84 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2007-08","Marital Status","Separated","NA",
"Pneumococcal","HHS Regions/National","Region 2","2019","Age","18-24 Years","NA",
"Pneumococcal","HHS Regions/National","Region 2","2006","Age","25-44 Years","NA",
"Pneumococcal","HHS Regions/National","Region 2","2007","Age","25-44 Years","NA",
"Pneumococcal","HHS Regions/National","Region 2","2018","Age","18-24 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2014-15","Age",">=85 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2015-16","Age",">=85 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2016-17","Age",">=85 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2017-18","Age",">=85 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2015-16","Race and Ethnicity","Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2016-17","Race and Ethnicity","Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2014","Race and Ethnicity","White, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2015","Race and Ethnicity","White, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2016","Race and Ethnicity","White, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2017","Race and Ethnicity","White, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2018","Race and Ethnicity","White, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2019","Race and Ethnicity","White, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2013","Race and Ethnicity","White, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2008","Age","25-44 Years","NA",
"Pneumococcal","HHS Regions/National","Region 2","2009","Age","25-44 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2010-11","Race and Ethnicity","Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2011-12","Race and Ethnicity","Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2012-13","Race and Ethnicity","Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2013-14","Race and Ethnicity","Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2014-15","Race and Ethnicity","Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2012-13","Age","55-64 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2018-19","Age","65-74 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2019-20","Age","65-74 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2005-06","Age","75-84 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2013-14","Age","55-64 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2014-15","Age","55-64 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2015-16","Age","55-64 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2016-17","Age","55-64 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2017-18","Age","55-64 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2018-19","Age","55-64 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2019-20","Age","55-64 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2005-06","Age","65-74 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2006-07","Age","65-74 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2007-08","Age","65-74 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2008-09","Age","65-74 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2009-10","Age","65-74 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2010-11","Age","65-74 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2008-09","Race and Ethnicity","Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2009-10","Race and Ethnicity","Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2007","Race and Ethnicity","White, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2008","Race and Ethnicity","White, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2009","Race and Ethnicity","White, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2010","Race and Ethnicity","White, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2011","Race and Ethnicity","White, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2012","Race and Ethnicity","White, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2015","Age","18-24 Years","NA",
"Pneumococcal","HHS Regions/National","Region 2","2016","Age","18-24 Years","NA",
"Pneumococcal","HHS Regions/National","Region 2","2017","Age","18-24 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2019-20","Race and Ethnicity","Black, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2005-06","Race and Ethnicity","Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2006-07","Race and Ethnicity","Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2007-08","Race and Ethnicity","Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2006","Race and Ethnicity","White, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2011","Age","25-44 Years","NA",
"Pneumococcal","HHS Regions/National","Region 2","2012","Age","25-44 Years","NA",
"Pneumococcal","HHS Regions/National","Region 2","2013","Age","25-44 Years","NA",
"Pneumococcal","HHS Regions/National","Region 2","2014","Age","25-44 Years","NA",
"Pneumococcal","HHS Regions/National","Region 2","2015","Age","25-44 Years","NA",
"Pneumococcal","HHS Regions/National","Region 2","2016","Age","25-44 Years","NA",
"Pneumococcal","HHS Regions/National","Region 2","2010","Age","25-44 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2017-18","Race and Ethnicity","Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2018-19","Race and Ethnicity","Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2019-20","Race and Ethnicity","Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2012","Age","18-24 Years","NA",
"Pneumococcal","HHS Regions/National","Region 2","2013","Age","18-24 Years","NA",
"Pneumococcal","HHS Regions/National","Region 2","2014","Age","18-24 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2018-19","Race and Ethnicity","Black, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2011","Age","18-24 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2011-12","Age","65-74 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2012-13","Age","65-74 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2013-14","Age","65-74 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2014-15","Age","65-74 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2015-16","Age","65-74 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2016-17","Age","65-74 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2017-18","Age","65-74 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2006-07","Age","75-84 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2007-08","Age","75-84 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2008-09","Age","75-84 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2009-10","Age","75-84 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2010-11","Age","75-84 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2011-12","Age","75-84 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2012-13","Age","75-84 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2013-14","Age","75-84 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2014-15","Age","75-84 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2017-18","Age","75-84 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2018-19","Age","75-84 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2016-17","Age","75-84 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2019-20","Age","75-84 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2005-06","Age",">=85 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2006-07","Age",">=85 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2007-08","Age",">=85 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2008-09","Age",">=85 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2009-10","Age",">=85 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2010-11","Age",">=85 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2011-12","Age",">=85 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2012-13","Age",">=85 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2013-14","Age",">=85 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2018-19","Age",">=85 Years","NA",
