"reporting_area","mmwr_year","mmwr_week","gonorrhea_current_week","gonorrhea_current_week_flag","gonorrhea_previous_52_weeks_max","gonorrhea_previous_52_weeks_max_flag","gonorrhea_cum_2019","gonorrhea_cum_2019_flag","gonorrhea_cum_2018","gonorrhea_cum_2018_flag","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_current_week","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_current_week_flag","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_previous_52_weeks_max","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_previous_52_weeks_max_flag","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_cum_2019","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_cum_2019_flag","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_cum_2018","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_cum_2018_flag","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_current_week","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_current_week_flag","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_previous_52_weeks_max","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_previous_52_weeks_max_flag","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_cum_2019","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_cum_2019_flag","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_cum_2018","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_cum_2018_flag","location_1","location_2"
"US RESIDENTS","2019","1","1735",,"12418",,"1735",,"8829",,"42",,"156",,"42",,"129",,,"-","3",,,"-","1",,,"
, US RESIDENTS "
"NEW ENGLAND","2019","1",,"-","263",,,"-","130",,,"-","12",,,"-","12",,,"-","1",,,"-","1",,,"
, NEW ENGLAND "
"MIDDDLE ATLANTIC","2019","1","279",,"1490",,"279",,"734",,"10",,"27",,"10",,"13",,,"-","1",,,"-",,"-",,"
, MIDDDLE ATLANTIC "
"NEW YORK CITY","2019","1",,"-","687",,,"-","326",,"2",,"8",,"2",,,"-",,"-","0",,,"-",,"-",,"
, NEW YORK CITY "
"EAST NORTH CENTRAL","2019","1","385",,"1934",,"385",,"1344",,"12",,"31",,"12",,"31",,,"-","2",,,"-",,"-",,"
, EAST NORTH CENTRAL "
"WEST NORTH CENTRAL","2019","1","209",,"911",,"209",,"651",,,"-","13",,,"-","9",,,"-","1",,,"-",,"-",,"
, WEST NORTH CENTRAL "
"SOUTH ATLANTIC","2019","1","266",,"2531",,"266",,"1575",,"8",,"40",,"8",,"29",,,"-","1",,,"-",,"-",,"
, SOUTH ATLANTIC "
"EAST SOUTH CENTRAL","2019","1","69",,"1007",,"69",,"607",,,"-","22",,,"-","14",,,"-","1",,,"-",,"-",,"
, EAST SOUTH CENTRAL "
"WEST SOUTH CENTRAL","2019","1","14",,"2113",,"14",,"1386",,"2",,"34",,"2",,"1",,,"-","1",,,"-",,"-",,"
, WEST SOUTH CENTRAL "
"MOUNTAIN","2019","1","201",,"868",,"201",,"705",,"10",,"16",,"10",,"14",,,"-","1",,,"-",,"-",,"
, MOUNTAIN "
"PACIFIC","2019","1","312",,"2094",,"312",,"1697",,,"-","9",,,"-","6",,,"-","1",,,"-",,"-",,"
, PACIFIC "
"US TERRITORIES","2019","1",,"-","19",,,"-","1",,,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"
, US TERRITORIES "
"AMERICAN SAMOA","2019","1",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"
, AMERICAN SAMOA "
"NON-US RESIDENTS","2019","1",,"-",,"NC",,"-",,"NP",,"-",,"NC",,"-",,"NP",,"-",,"NC",,"-",,"NP",,"
, NON-US RESIDENTS "
"TOTAL","2019","1","1735",,"12432",,"1735",,"8830",,"42",,"156",,"42",,"129",,,"-","3",,,"-","1",,,"
, TOTAL "
"IOWA","2019","1","6",,"119",,"6",,"98",,,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, IOWA 
(42.46942, -93.815856)",
"MONTANA","2019","1","15",,"36",,"15",,"5",,,"-","2",,,"-","1",,,"-","1",,,"-",,"-","
, MONTANA 
(47.062617, -109.430168)",
"ILLINOIS","2019","1","20",,"529",,"20",,"404",,,"-","11",,,"-","8",,,"-","2",,,"-",,"-","
, ILLINOIS 
(40.477092, -88.993221)",
"GEORGIA","2019","1",,"-","478",,,"-","233",,"4",,"10",,"4",,"5",,,"-","0",,,"-",,"-","
, GEORGIA 
(32.836038, -83.631709)",
"PUERTO RICO","2019","1",,"-","18",,,"-","1",,,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, PUERTO RICO 
(18.215692, -66.414655)",
"WISCONSIN","2019","1","87",,"208",,"87",,"118",,,"-","5",,,"-","5",,,"-","0",,,"-",,"-","
, WISCONSIN 
(44.395526, -89.834513)",
"MICHIGAN","2019","1","91",,"435",,"91",,"230",,"1",,"8",,"1",,"7",,,"-","1",,,"-",,"-","
, MICHIGAN 
(44.66399, -84.711206)",
"LOUISIANA","2019","1",,"-","322",,,"-","171",,,"-","5",,,"-",,"-",,"-","0",,,"-",,"-","
, LOUISIANA 
(31.2931, -92.463284)",
"NEVADA","2019","1",,"-","128",,,"-","76",,,"-","2",,,"-","1",,,"-","0",,,"-",,"-","
, NEVADA 
(39.491833, -117.070159)",
"U.S. VIRGIN ISLANDS","2019","1",,"-","4",,,"-",,"-",,"N",,"NC",,"N",,"N",,"-","0",,,"-",,"-","
, VIRGIN ISLANDS 
(18.060868, -64.840836)",
"FLORIDA","2019","1","82",,"759",,"82",,"245",,"4",,"14",,"4",,"5",,,"-","0",,,"-",,"-","
, FLORIDA 
(28.915325, -81.922409)",
"GUAM","2019","1",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, GUAM 
(13.3532, 144.653198)",
"MISSOURI","2019","1","169",,"393",,"169",,"256",,,"-","10",,,"-","8",,,"-","0",,,"-",,"-","
, MISSOURI 
(38.636168, -92.566292)",
