name,county,city,state,zip,phone,website,facebook,twitter,has_email,address
Clay County Health Department,Clay,Lineville,AL,36266,(256) 396-6421,http://www.alabamapublichealth.gov/clay/index.html,https://www.facebook.com/ClayCHD,,True,"86892 Highway 9 Lineville, AL 36266-6949"
Cleburne County Health Department,Cleburne,Heflin,AL,36264,(256) 463-2296,http://www.alabamapublichealth.gov/cleburne/index.html,https://www.facebook.com/CleburneCHD,,True,"90 Brockford Rd Heflin, AL 36264-1677"
Coffee County Health Department,Coffee,Enterprise,AL,36330,(334) 347-9574,http://www.alabamapublichealth.gov/coffee/index.html,https://www.facebook.com/CoffeeCHD/,,True,"2841 Neil Metcalf Rd Enterprise, AL 36330-8003"
Colbert County Health Department,Colbert,Sheffield,AL,35660,(256) 383-1231,http://www.alabamapublichealth.gov/colbert/,https://www.facebook.com/ColbertCHD,,True,"1000 S Jackson Hwy Sheffield, AL 35660-5761"
Conecuh County Health Department,Conecuh,Evergreen,AL,36401,(251) 947-1645,http://www.alabamapublichealth.gov/conecuh/index.html,https://www.facebook.com/ConecuhCHD,,True,"102 Wild Ave Evergreen, AL 36401-2134"
Coosa County Health Department,Coosa,Rockford,AL,35136,(334) 850-6001,http://www.alabamapublichealth.gov/coosa/index.html,,,True,"9518 U.S. Highway 231 Rockford, AL 35136"
Covington Health Department,Covington,Andalusia,AL,36420,(334) 222-1175,http://www.alabamapublichealth.gov/covington/index.html,https://www.facebook.com/CovingtonCHD,,True,"23989 Al Highway 55 Andalusia, AL 36420-5470"
Crenshaw County Health Department,Crenshaw,Luverne,AL,36049,(334) 335-2471,http://www.alabamapublichealth.gov/crenshaw/index.html,https://www.facebook.com/CrenshawCHD,,True,"15 Hospital Dr Luverne, AL 36049-7341"
Cullman County Health Department,Cullman,Cullman,AL,35055,(256) 340-2113,http://www.alabamapublichealth.gov/cullman/index.html,https://www.facebook.com/CullmanCHD,,True,"601 Logan Ave Sw Cullman, AL 35055-4520"
Dale County Health Department,Dale,Ozark,AL,36360,(334) 687-4808,http://www.alabamapublichealth.gov/dale/index.html,https://www.facebook.com/DaleCHD,,True,"532 W Roy Parker Rd Ozark, AL 36360-1006"
Dallas County Health Department,Dallas,Selma,AL,36701,(334) 874-2550,http://www.alabamapublichealth.gov/dallas/index.html,https://www.facebook.com/DallasCHD,,True,"100 Samuel O Moseley Dr Selma, AL 36701-6729"
DeKalb County Health Department,DeKalb,Payne,AL,35967,(256) 845-1931,http://www.alabamapublichealth.gov/dekalb/index.html,https://www.facebook.com/DeKalbCHD,,True,"2401 Calvin Dr Sw Fort Payne, AL 35967-1100"
East Central District - Alabama Public Health,East Central District - Alabama,Montgomery,AL,36108,(334) 293-6400,http://www.alabamapublichealth.gov,,,True,"3060 Mobile Hwy Montgomery, AL 36108-4027"
Elmore County Health Department,Elmore,Wetumpka,AL,36092,(334) 293-6400,http://www.alabamapublichealth.gov/elmore/index.html,https://www.facebook.com/ElmoreCHD,,True,"6501 Us Highway 231 Wetumpka, AL 36092-2837"
Escambia County Health Department,Escambia,Brewton,AL,36426,(251) 947-1645,http://www.alabamapublichealth.gov/escambia/index.html,https://www.facebook.com/ECountyHD/,,True,"1115 Azalea Pl Brewton, AL 36426-1318"
Etowah County Health Department,Etowah,Payne,AL,35967,(256) 547-6311,http://www.alabamapublichealth.gov/etowah/index.html,https://www.facebook.com/EtowahCHD,,True,"2401 Calvin DR SW Fort Payne, AL 35967-1100"
Fayette County Health Department,Fayette,Fayette,AL,35555,(205) 932-5260,http://www.alabamapublichealth.gov/fayette/index.html,https://www.facebook.com/FayetteCHD,,True,"215 1St Ave Nw Fayette, AL 35555-2331"
Franklin County Health Department,Franklin,Russellville,AL,35653,(256) 340-2113,http://www.alabamapublichealth.gov/franklin/index.html,https://www.facebook.com/FranklinCountyHD,,True,"PO Box 100 Russellville, AL 35653-0100"
Geneva County Health Department,Geneva,Hartford,AL,36344,(334) 684-2256,http://www.alabamapublichealth.gov/geneva/index.html,https://www.facebook.com/GenevaCHD/,,True,"300 County Road 41 Hartford, AL 36344-5177"
Greene County Health Department,Greene,Eutaw,AL,35462,(205) 372-9361,http://www.alabamapublichealth.gov/greene/index.html,https://www.facebook.com/Greene-County-Health-Department-882421425103622/,,True,"412 Morrow Ave Eutaw, AL 35462-1109"
Hale County Health Department,Hale,Greensboro,AL,36744,(334) 624-3018,http://www.alabamapublichealth.gov/hale/index.html,https://www.facebook.com/Hale-County-Health-Department-1553933844819271/?fref=ts,,True,"670 Hall St Greensboro, AL 36744-2516"
Henry County Health Department,Henry,Abbeville,AL,36310,(334) 585-2660,http://www.alabamapublichealth.gov/henry/index.html,https://www.facebook.com/HenryCountyHD/,,True,"PO BOX 86 Abbeville, AL 36310-0086"
Houston County Health Department,Houston,Dothan,AL,36302,(334) 678-2800,http://www.alabamapublichealth.gov/houston/index.html,https://www.facebook.com/HoustonCHD/,,True,"PO Box 2087 Dothan, AL 36302-2087"
Jackson County Health Department,Jackson,Scottsboro,AL,35769,(256) 259-4161,http://www.alabamapublichealth.gov/jackson/index.html,https://www.facebook.com/JacksonCountyHealth/,,True,"204 Liberty Ln Scottsboro, AL 35769-4133"
Jefferson County Department of Health/Alabama Public Health Jefferson District,Jefferson County Department of Health/Alabama Public Health Jefferson,Birmingham,AL,35202,(205) 933-9110,https://www.jcdh.org/,https://www.facebook.com/JeffersonCountyDepartmentOfHealth/,https://twitter.com/jcdhtweets,True,"PO BOX 2648 Birmingham, AL 35202-2648"
Lamar County Health Department,Lamar,Vernon,AL,35592,(205) 695-9195,http://www.alabamapublichealth.gov/lamar/index.html,https://www.facebook.com/LamarCHD,,True,"PO Box 548 Vernon, AL 35592-0548"
Lauderdale County Health Department,Lauderdale,Florence,AL,35630,(256) 764-7453,http://www.alabamapublichealth.gov/lauderdale/index.html,https://www.facebook.com/LauderdaleCHD,,True,"4112 Chisholm Rd Florence, AL 35630-7345"
Lawrence County Health Department,Lawrence,Moulton,AL,35650,(256) 974-1141,http://www.alabamapublichealth.gov/lawrence/index.html,https://www.facebook.com/LawrenceCHD/,,True,"PO BOX 308 Moulton, AL 35650-0308"
Lee County Health Department,Lee,Opelika,AL,36801,(334) 745-5765,http://www.alabamapublichealth.gov/lee/index.html,https://www.facebook.com/LeeCountyHD/,,True,"1801 Corporate Dr Opelika, AL 36801-6861"
Limestone County Health Department,Limestone,Athens,AL,35611,(256) 232-3200,http://www.alabamapublichealth.gov/limestone/index.html,https://www.facebook.com/LimestoneCHD,,True,"20371 Clyde Mabry Dr Athens, AL 35611-6764"
Lowndes County Health Department,Lowndes,Hayneville,AL,36040,(334) 548-2564,http://www.alabamapublichealth.gov/lowndes/index.html,https://www.facebook.com/LowndesCHD/,,True,"507 E Tuskeena St Hayneville, AL 36040-2666"
Macon County Health Department,Macon,Tuskegee,AL,36083,(334) 727-1800,http://www.alabamapublichealth.gov/macon/index.html,https://www.facebook.com/MaconCHD/,,True,"812 Hospital Rd Tuskegee, AL 36083-1541"
Madison County Health Department,Madison,Huntsville,AL,35810,(256) 539-3711,http://www.alabamapublichealth.gov/madison/index.html,https://www.facebook.com/pages/MadisonCountyHealth,,True,"PO Box 17708 Huntsville, AL 35810-7708"
Marengo County Health Department,Marengo,Linden,AL,36748,(334) 295-4205,http://www.alabamapublichealth.gov/marengo/index.html,https://www.facebook.com/MarengoCHD/,,True,"303 Industrial Dr Linden, AL 36748-2002"
Marion County Health Department,Marion,Hamilton,AL,35570,(205) 921-3118,http://www.alabamapublichealth.gov/marion/index.html,https://www.facebook.com/MarionCountyHD,,True,"2448 Military St S Hamilton, AL 35570-6673"
Marshall County Health Department,Marshall,Guntersville,AL,35976,(256) 582-3174,http://www.alabamapublichealth.gov/marshall/index.html,https://www.facebook.com/MarshallCHD/,,True,"150 Judy Smith Dr Guntersville, AL 35976-4500"
Mobile County Health Department,Mobile,Mobile,AL,36603,(251) 690-8158,http://mchd.org,https://www.facebook.com/ILoveMCHD,https://twitter.com/ILoveMCHD,True,"251 N Bayou St Mobile, AL 36603-1699"
Monroe County Health Department,Monroe,Monroeville,AL,36460,(251) 575-3109,http://www.alabamapublichealth.gov/monroe/index.html,https://www.facebook.com/MonroeCHD,,True,"416 Agriculture Dr Monroeville, AL 36460-8686"
Montgomery County Health Department,Montgomery,Montgomery,AL,36108,(334) 293-6400,http://www.alabamapublichealth.gov/montgomery/index.html,https://www.facebook.com/MontgomeryCHD/,,True,"3060 Mobile Hwy Montgomery, AL 36108-4027"
Morgan County Health Department,Morgan,Decatur,AL,35603,(256) 353-7021,http://www.alabamapublichealth.gov/morgan/index.html,https://www.facebook.com/MorganCHD/,,True,"3821 Us Highway 31 S Decatur, AL 35603-1637"
Northeastern District - Alabama Public Health,Northeastern District - Alabama,Gadsden,AL,35903,(256) 547-6311,http://www.alabamapublichealth.gov,,,True,"709 E Broad St Gadsden, AL 35903-2452"
Northern District - Alabama Public Health,Northern District - Alabama,Decatur,AL,35603,(256) 340-2113,http://www.alabamapublichealth.gov,,,True,"3821 US Highway 31 S Decatur, AL 35603-1637"
Perry County Health Department,Perry,Marion,AL,36756,(334) 683-6153,http://www.alabamapublichealth.gov/perry/index.html,https://www.facebook.com/PerryCHD,,True,"1748 S Washington St Marion, AL 36756-3406"
Pickens County Health Department,Pickens,Carrollton,AL,35447,(205) 367-8157,http://www.alabamapublichealth.gov/pickens/index.html,https://www.facebook.com/Pickens-County-Health-Department-866888973343298/?fref=ts,,True,"80 William E Hill Dr Carrollton, AL 35447-3231"
Pike County Health Department,Pike,Troy,AL,36081,(334) 566-2860,http://www.alabamapublichealth.gov/pike/index.html,https://www.facebook.com/PikeCHD/,,True,"900 S Franklin Dr Troy, AL 36081-3812"
Randolph County Health Department,Randolph,Roanoke,AL,36274,(334) 863-8981,http://www.alabamapublichealth.gov/randolph/index.html,https://www.facebook.com/RandolphCHD,,True,"320 Main St Roanoke, AL 36274-1436"
Russell County Health Department,Russell,City,AL,36867,(334) 297-0251,http://www.alabamapublichealth.gov/russell/index.html,https://www.facebook.com/RussellCHD,,True,"1850 Crawford Rd Phenix City, AL 36867-4222"
Shelby County Department of Health,Shelby,Pelham,AL,35124,(205) 664-2470,http://www.alabamapublichealth.gov/shelby/index.html,https://www.facebook.com/ShelbyCHD/,,True,"PO BOX 846 Pelham, AL 35124-0846"
Southeastern District - Alabama Public Health,Southeastern District - Alabama,Dothan,AL,36302,(334) 792-9070,http://www.alabamapublichealth.gov,,,True,"PO Box 2087 Dothan, AL 36302-2087"
Southwestern District - Alabama Public Health,Southwestern District - Alabama,Brewton,AL,36426,(251) 947-1645,http://www.alabamapublichealth.gov,,,True,"1115 Azalea Pl Brewton, AL 36426-1318"
St. Clair County Health Department,St. Clair,City,AL,35125,(205) 338-3357,http://www.alabamapublichealth.gov/stclair/index.html,https://www.facebook.com/StClairCHD,,True,"PO BOX 627 Pell City, AL 35125-0627"
Sumter County Health Department,Sumter,Livingston,AL,35470,(205) 652-7972,http://www.alabamapublichealth.gov/sumter/index.html,https://www.facebook.com/SumterCHD/,,True,"1121 N Washington St Livingston, AL 35470-5415"
Talladega County Health Department,Talladega,Talladega,AL,35161,(256) 362-2593,http://www.alabamapublichealth.gov/talladega/index.html,https://www.facebook.com/TalladegaCHD,,True,"PO Box 455 Talladega, AL 35161-0455"
Tallapoosa County Health Department,Tallapoosa,City,AL,35010,(256) 329-0531,http://www.alabamapublichealth.gov/tallapoosa/index.html,https://www.facebook.com/TallapoosaCHD,,True,"2078 Sportplex Blvd Alexander City, AL 35010-4472"
Tuscaloosa County Health Department,Tuscaloosa,Tuscaloosa,AL,35405,(205) 562-6900,http://www.alabamapublichealth.gov/tuscaloosa/index.html,https://www.facebook.com/TuscaloosaCHD,,True,"2350 Hargrove Rd E Tuscaloosa, AL 35405-2612"
Walker County Health Department,Walker,Jasper,AL,35501,(205) 221-9775,http://www.alabamapublichealth.gov/walker/index.html,https://www.facebook.com/WalkerCHD,,True,"705 20th Ave E Jasper, AL 35501-4071"
Washington County Health Department,Washington,Chatom,AL,36518,(251) 847-2245,http://www.alabamapublichealth.gov/washington/index.html,https://www.facebook.com/Washington-County-Health-Department-492546657554501/?fref=ts,,True,"14900 Saint Stephens Ave Chatom, AL 36518-6715"
West Central District - Alabama Public Health,West Central District - Alabama,Tuscaloosa,AL,35405,(205) 554-4500,http://www.alabamapublichealth.gov,,,True,"2350 Hargrove Rd E Tuscaloosa, AL 35405-2612"
Wilcox County Health Department,Wilcox,Camden,AL,36726,(334) 682-4515,http://www.alabamapublichealth.gov/wilcox/index.html,https://www.facebook.com/Wilcox-County-Health-Department-328419027349880/,,True,"107 Union St Camden, AL 36726-1728"
Winston County Health Department,Winston,Springs,AL,35553,(205) 489-2101,http://www.alabamapublichealth.gov/winston/index.html,https://www.facebook.com/WinstonCHD,,True,"110 Legion Rd Double Springs, AL 35553-2365"
Alaska Native Tribal Health Consortium,Alaska Native Tribal Health Consortium,Anchorage,AK,99508,(907) 563-2662,http://www.anthc.org,,,True,"4000 Ambassador DR Anchorage, AK 99508-5909"
Anchorage Health Department,Anchorage,Anchorage,AK,99501,(907) 343-4650,http://www.muni.org/departments/health,https://www.facebook.com/ancpublichealth/,,True,"825 L St Anchorage, AK 99501-3337"
Chickaloon Village Health and Social Services Department,Chickaloon Village Health and Social,Sutton,AK,99654,(907) 745-0704,https://www.chickaloon-nsn.gov/health-social-services/,,,True,"11495 N Callison Street Sutton, AK 99654"
Native Village of Eklutna,Native Village of Eklutna,Chugiak,AK,99567,(907) 390-9336,http://www.eklutna-nsn.gov/HealthWellness.htm,,,True,"26339 Eklutna Village Rd Chugiak, AK 99567-5148"
North Slope Borough Health and Social Services Agency,North Slope Borough Health and Social,Utqiaġvik,AK,99723,(907) 852-0344,http://www.north-slope.org/departments/health-social-services,,,True,"P.O. Box 69 Utqiaġvik, AK 99723"
Yukon-Kuskokwin Health,Yukon-Kuskokwin,Bethel,AK,99559,(907) 543-6000,https://www.ykhc.org/,,,True,"PO Box 528 Bethel, AK 99559-0528"
Apache County Public Health Services District,Apache,Johns,AZ,85936,(928) 337-4364,https://www.apachecountyaz.gov/Public-Health-Services,https://www.facebook.com/azdhs/,https://twitter.com/azdhs,True,"PO Box 697 Saint Johns, AZ 85936-0697"
Cochise County Health & Social Services,Cochise County Health & Social,Bisbee,AZ,85603,(520) 432-9400,https://www.cochise.az.gov/372/Health-Social-Services,https://www.facebook.com/CochiseCountyAZ/,https://twitter.com/cochisecounty,True,"1415 Melody Ln Bldg A Bisbee, AZ 85603-3039"
Coconino County Health & Human Services,Coconino,Flagstaff,AZ,86004,(928) 679-7272,https://www.coconino.az.gov/2124/Health-and-Human-Services,https://www.facebook.com/CoconinoCountyHHS/,https://twitter.com/CoconinoHHS,True,"2625 N King St Flagstaff, AZ 86004-1884"
Dilkon Medical Center Public Health Department,Dilkon Medical,Dilkon,AZ,86047,(928) 657-1420,https://www.wihcc.com/public-health-department.html,,,True,"1 Medical Center Drive Dilkon, AZ 86047"
Fort McDowell Indian Community/Wassaja Memorial Health Center,Fort McDowell Indian Community/Wassaja Memorial,Hills,AZ,85269,(480) 789-7890,https://fmyn.org/clinic/,,,True,"PO BOX 17779 Fountain Hills, AZ 85269-7779"
Gila County Health Department,Gila,Globe,AZ,85501,(928) 402-8811,https://www.gilacountyaz.gov/government/health_and_emergency_services/health_services/index.php,https://www.facebook.com/gilacohealthem/,https://twitter.com/GilaCo_Health,True,"5515 S Apache Ave Ste 100 Globe, AZ 85501-4429"
Gila River Tribal Health Department,Gila River Tribal,Sacaton,AZ,85147,(520) 562-5100 (247),https://www.mygilariver.com/index.php/community-directory/tribal-health-department,,,True,"PO Box 147 Sacaton, AZ 85147"
Graham County Health Department,Graham,Safford,AZ,85546,(928) 428-0110,http://www.graham.az.gov,https://www.facebook.com/Graham-County-Health-Department-1611121092508959,,True,"826 W Main St Safford, AZ 85546-2828"
Greenlee County Health Department,Greenlee,Clifton,AZ,85533,(928) 865-2601,https://greenlee.az.gov/ova_dep/health-and-county-services/,https://www.facebook.com/greenleehealth/,,True,"253 5th St Clifton, AZ 85533-0936"
La Paz County Health Department,La Paz,Parker,AZ,85344,(928) 669-1100,http://www.LPCHD.com,https://www.facebook.com/LaPazCounty.HealthDepartment/,https://twitter.com/lapazhealthinfo,True,"1112 S Joshua Ave Ste 206 Parker, AZ 85344-5756"
Maricopa County Department of Public Health,Maricopa,Phoenix,AZ,85012,(602) 506-6900,https://www.maricopa.gov/5302/Public-Health,https://www.facebook.com/MCDPH,https://twitter.com/Maricopahealth,True,"4041 N Central Ave Ste 1400 Phoenix, AZ 85012-3314"
Mohave County Department of Public Health,Mohave,Kingman,AZ,86402,(928) 753-0774 (4313),https://www.mohave.gov/ContentPage.aspx?id=127,https://www.facebook.com/Mohave-County-Department-of-Public-Health-1566710160271535/,https://twitter.com/mohaveinfo,True,"PO Box 7000 Kingman, AZ 86402-7000"
Navajo County Public Health Services District,Navajo,Low,AZ,85901,(928) 532-6050,http://www.navajocountyaz.gov/Departments/Public-Health-Services,https://www.facebook.com/NavajoCounty,https://twitter.com/ncphsd,True,"600 N 9Th Pl Show Low, AZ 85901-3560"
Pascua Yaqui Health Department,Pascua Yaqui,Tucson,AZ,85746,(520) 879-6000,https://www.pascuayaqui-nsn.gov/health-services/,,,True,"7474 S Camino DE Oeste Tucson, AZ 85746-9308"
Pima County Health Department,Pima,Tucson,AZ,85714,(520) 724-7770,https://www.pima.gov/2620/Health-Community-Services,https://www.facebook.com/PimaCountyHealthDepartment,https://twitter.com/pchd,True,"3950 S Country Club Rd Ste 100 Tucson, AZ 85714-2226"
Pinal County Health Department,Pinal,Florence,AZ,85132,(866) 960-0633,http://www.pinal.gov/publichealth,,,True,"PO BOX 2945 Florence, AZ 85132"
San Carlos Apache Tribe,San Carlos Apache Tribe,Carlos,AZ,85550,(928) 475-2137 (1104),https://www.scat-nsn.gov/health/,,,True,"PO BOX 0 San Carlos, AZ 85550"
Santa Cruz County Health Department,Santa Cruz,Nogales,AZ,85621,(520) 375-7900,https://www.santacruzcountyaz.gov/148/Health-Services,https://www.facebook.com/PublicHealthSCC/,https://twitter.com/publichealthscc,True,"2150 N Congress Dr Nogales, AZ 85621-1090"
Tohono O'Odham Health Department,Tohono O'Odham,Sells,AZ,85634,(520) 383-6000,,,,True,"PO Box 810 Sells, AZ 85634"
White Mountain Apache Health Authority,White Mountain Apache,Whiteriver,AZ,85941,(928) 338-4955,,,,True,"PO Box 1210 Whiteriver, AZ 85941"
Yavapai County Community Health Services,Yavapai County Community,Prescott,AZ,86305,(928) 771-3122,https://www.yavapaiaz.gov/Resident-Services/Health-Services/Community-Health-Services,https://www.facebook.com/YCCHS/,https://twitter.com/yavapaihealth,True,"1090 Commerce Dr Prescott, AZ 86305-3700"
Yuma County Health Department,Yuma,Yuma,AZ,85364,(928) 317-4550 (1729),http://www.yumacountyaz.gov/government/health-district,https://www.facebook.com/yumacountyaz/,https://twitter.com/yumacountyaz,True,"2200 W 28th St Yuma, AZ 85364"
Arkansas County Health Units (DeWitt & Stuttgart),Arkansas County Health Units (DeWitt & Stuttgart),Stuttgart,AR,72160,(870) 535-2142,https://www.healthy.arkansas.gov/health-units/detail/arkansas-county-health-unit-stuttgart,,,True,"1602 N Buerkle ST Stuttgart, AR 72160-2516"
Ashley County Health Units (Crossett & Hamburg),Ashley County Health Units (Crossett & Hamburg),Crossett,AR,71635,(870) 364-2115,https://www.healthy.arkansas.gov/health-units/detail/ashley-county-health-unit-crossett,,,True,"1300 W 5Th Ave Crossett, AR 71635-2500"
Baxter County Health Unit,Baxter,Home,AR,72653,(870) 425-3072,https://www.healthy.arkansas.gov/health-units/detail/baxter-county-health-unit-mt.-home,,,True,"206 Bucher Dr Mountain Home, AR 72653-3400"
Benton County Health Units (Rogers & Siloam Springs),Benton County Health Units (Rogers & Siloam Springs),Rogers,AR,72756,(479) 986-1300,,,,True,"1200 W Walnut ST Ste 2200 Rogers, AR 72756-3572"
Boone County Health Unit,Boone,Harrison,AR,72601,(870) 743-5244,https://www.healthy.arkansas.gov/health-units/detail/boone-county-health-unit-harrison,,,True,"1622 Campus Ave Harrison, AR 72601-5524"
Bradley County Health Unit,Bradley,Warren,AR,71671,(870) 226-8440,https://www.healthy.arkansas.gov/health-units/detail/bradley-county-health-unit-warren,,,True,"208 Bragg St Warren, AR 71671-2500"
Calhoun County Health Unit,Calhoun,Hampton,AR,71744,(870) 798-2808,https://www.healthy.arkansas.gov/health-units/detail/calhoun-county-health-unit-hampton,,,True,"1119 Prestress Dr Hampton, AR 71744-8811"
Carroll County Health Unit,Carroll,Berryville,AR,72616,(870) 423-2923,https://www.healthy.arkansas.gov/health-units/detail/carroll-county-health-unit-berryville,,,True,"402 Hailey Rd Berryville, AR 72616-5077"
Chicot County Health Unit,Chicot,Village,AR,71653,(870) 265-2236,https://www.healthy.arkansas.gov/health-units/detail/chicot-county-health-unit-lake-village,,,True,"1740 S Highway 65 82 Lake Village, AR 71653-1560"
Clark County Health Unit,Clark,Arkadelphia,AR,71923,(870) 246-4471,https://www.healthy.arkansas.gov/health-units/detail/clark-county-health-unit-arkadelphia,,,True,"605 S 10Th St Arkadelphia, AR 71923-7013"
Clay County Health Units (Corning & Piggott),Clay County Health Units (Corning & Piggott),Corning,AR,72422,(870) 857-6281,,,,True,"301 N Missouri Ave # 18 Corning, AR 72422-1600"
Cleburne County Health Unit,Cleburne,Springs,AR,72543,(501) 362-7581,https://www.healthy.arkansas.gov/health-units/detail/cleburne-county-health-unit-heber-springs,,,True,"2319 Highway 110 W Ste C Heber Springs, AR 72543-3464"
Cleveland County Health Unit,Cleveland,Rison,AR,71665,(870) 325-6311,https://www.healthy.arkansas.gov/health-units/detail/cleveland-county-health-unit-rison,,,True,"409 E Magnolia St Rison, AR 71665"
Columbia County Health Unit,Columbia,Magnolia,AR,71753,(870) 235-3798,https://www.healthy.arkansas.gov/health-units/detail/columbia-county-health-unit-magnolia,,,True,"207 S Jefferson Magnolia, AR 71753-3901"
Conway County Health Unit,Conway,Morrilton,AR,72110,(501) 354-4652,https://www.healthy.arkansas.gov/health-units/detail/conway-county-health-unit-morrilton,,,True,"100 Hospital DR Morrilton, AR 72110-4516"
Craighead County Health Unit,Craighead,Jonesboro,AR,72401,(870) 933-4585,https://www.healthy.arkansas.gov/health-units/detail/craighead-county-health-unit-jonesboro,,,True,"611 E Washington Ave Ste B Jonesboro, AR 72401-3001"
Crawford County Health Unit,Crawford,Buren,AR,72956,(479) 474-6391,https://www.healthy.arkansas.gov/health-units/detail/crawford-county-health-unit-van-buren,,,True,"2040 Chestnut St Van Buren, AR 72956-5321"
Crittenden County Health Units (Earle & West Memphis),Crittenden County Health Units (Earle & West Memphis),Memphis,AR,72301,(870) 735-4334,https://www.healthy.arkansas.gov/health-units/detail/crittenden-county-health-unit-west-memphis,,,True,"901 N 7th ST West Memphis, AR 72301-2001"
Cross County Health Unit,Cross,Wynne,AR,72396,(870) 238-2101,https://www.healthy.arkansas.gov/health-units/detail/cross-county-health-unit-wynne,,,True,"701 Julia Ave E Wynne, AR 72396-3515"
Dallas County Health Unit,Dallas,Fordyce,AR,71742,(870) 352-7197,https://www.healthy.arkansas.gov/health-units/detail/dallas-county-health-unit-fordyce,,,True,"201 N Spring St Fordyce, AR 71742-3315"
Desha County Health Units (Dumas & McGehee),Desha County Health Units (Dumas & McGehee),Dumas,AR,71639,(870) 382-2377,https://www.healthy.arkansas.gov/health-units/detail/desha-county-health-unit-mcgehee,,,True,"751 Hwy 65 South Dumas, AR 71639"
Drew County Health Unit,Drew,Monticello,AR,71655,(870) 367-6234,https://www.healthy.arkansas.gov/health-units/detail/drew-county-health-unit-monticello,,,True,"940 Scogin DR Monticello, AR 71655-5732"
Faulkner County Health Unit,Faulkner,Conway,AR,72032,(501) 450-4941,https://www.healthy.arkansas.gov/health-units/detail/faulkner-county-health-unit-conway,,,True,"811 N Creek Dr Conway, AR 72032-4712"
Franklin County Health Unit,Franklin,Ozark,AR,72949,(479) 667-2555,https://www.healthy.arkansas.gov/health-units/detail/franklin-county-health-unit-ozark,,,True,"509 N 29Th St Ozark, AR 72949-3429"
Fulton County Health Unit,Fulton,Salem,AR,72576,(870) 895-3300,https://www.healthy.arkansas.gov/health-units/detail/fulton-county-health-unit-salem,,,True,"510 S Main St Salem, AR 72576-9422"
Garland County Health Unit,Garland,Springs,AR,71901,(501) 624-3394,https://www.healthy.arkansas.gov/health-units/detail/garland-county-health-unit-hot-springs,,,True,"1425 Malvern Ave Hot Springs, AR 71901-6316"
