date,rate,cumulative_rate,season
2020-10-03,0.0,0.0,2020-21
2020-10-10,0.0,0.0,2020-21
2020-10-17,0.0,0.0,2020-21
2020-10-24,0.0,0.0,2020-21
2020-10-31,0.0,0.0,2020-21
2020-11-07,0.0,0.0,2020-21
2020-11-14,0.0,0.0,2020-21
2020-11-21,0.0,0.0,2020-21
2020-11-28,0.0,0.0,2020-21
2020-12-05,0.0,0.0,2020-21
2020-12-12,0.0,0.0,2020-21
2020-12-19,0.0,0.1,2020-21
2020-12-26,0.0,0.1,2020-21
2021-01-02,0.0,0.1,2020-21
2021-01-09,0.0,0.1,2020-21
2021-01-16,0.0,0.1,2020-21
2021-01-23,0.0,0.1,2020-21
2021-01-30,0.0,0.1,2020-21
2021-02-06,0.0,0.1,2020-21
2021-02-13,0.0,0.1,2020-21
2021-02-20,0.0,0.1,2020-21
2021-02-27,0.0,0.1,2020-21
2021-03-06,0.0,0.1,2020-21
2021-03-13,0.0,0.1,2020-21
2021-03-20,0.0,0.2,2020-21
2021-03-27,0.0,0.2,2020-21
2021-04-03,0.0,0.2,2020-21
2021-04-10,0.1,0.3,2020-21
2021-04-17,0.0,0.3,2020-21
2021-04-24,0.0,0.3,2020-21
2021-05-01,0.1,0.4,2020-21
2021-05-08,0.1,0.5,2020-21
2021-05-15,0.2,0.7,2020-21
2021-05-22,0.2,0.9,2020-21
2021-05-29,0.2,1.0,2020-21
2021-06-05,0.2,1.3,2020-21
2021-06-12,0.2,1.5,2020-21
2021-06-19,0.3,1.8,2020-21
2021-06-26,0.3,2.1,2020-21
2021-07-03,0.4,2.5,2020-21
2021-07-10,0.4,2.9,2020-21
2021-07-17,0.6,3.5,2020-21
2021-07-24,0.8,4.3,2020-21
2021-07-31,0.8,5.0,2020-21
2021-08-07,0.9,5.9,2020-21
2021-08-14,0.9,6.8,2020-21
2021-08-21,0.8,7.7,2020-21
2021-08-28,0.9,8.6,2020-21
2021-09-04,0.9,9.5,2020-21
2021-09-11,0.9,10.4,2020-21
2021-09-18,0.8,11.3,2020-21
2021-09-25,0.8,12.1,2020-21
2021-10-02,1.0,13.1,2020-21
2021-10-09,0.9,0.9,2021-22
